Country Code,Year,GDP per capita,GDP growth rate,Urban population percentage,Literacy rate,Environmental performance index,CO2 emissions,Years Since First Data
1A,1990,2833.22189337546,9.51664431166772,50.074412080139,54.795768737793,3.73176718416628,2.98995049585349,0
1A,1991,2020.36158664875,1.41550420497383,50.471175220027,55.8037490844727,3.71369817574387,3.01845937722811,1
1A,1992,1969.84761104858,6.28889502487107,51.0190267061052,56.8901710510254,3.69562373713682,3.12641927822106,2
1A,1993,1963.78968068776,2.59441182259059,51.4348089295405,57.6767883300781,3.67755475526416,3.26322296218609,3
1A,1994,1995.55833298332,3.16901865933552,51.7024141696087,58.6223487854004,3.6594857733915,3.37412308744408,4
1A,1995,2058.45956141821,2.71689493738789,51.8985035847986,59.6062889099121,3.6414167988656,3.39923963525283,5
1A,1996,2171.31984204035,4.59073695067065,52.0919238879614,60.7434005737305,3.62334781699294,3.41288756121775,6
1A,1997,2283.70037598542,4.94370376893526,52.3161747222878,61.8547515869141,3.60527883512027,3.49294861532276,7
1A,1998,2174.90400851706,4.8477221647276,52.5620010400932,63.0504188537598,3.58720985324761,3.44843537667839,8
1A,1999,2362.99620692573,1.8588359749504,52.810525933373,64.1246185302734,3.56914087137495,3.42413689401481,9
1A,2000,2649.77245147363,6.59810073069697,53.0559973795537,65.1314315795898,3.55107188950229,3.47714889138064,10
1A,2001,2527.91694092746,1.67856914031832,53.3118011492396,66.2609481811523,3.5366592241477,3.61132403981851,11
1A,2002,2478.93415179419,0.666592759693543,53.5664327586935,67.2946319580078,3.52224655879312,3.65601744201132,12
1A,2003,2697.48562999278,4.87100449978031,53.830162111699,70.01904296875,3.5078802822753,3.68259386540655,13
1A,2004,3140.30963599122,8.87288080186666,54.0955224686373,70.8691711425781,3.49346999292717,3.80120878160622,14
1A,2005,3760.92011203428,5.46655918441073,54.4352230672072,71.4038467407227,3.47905457036976,3.98451690384805,15
1A,2006,4362.93231007856,6.16578265802067,54.834300381715,69.1949996948242,3.46462644193495,4.08640360019858,16
1A,2007,4943.51055312194,4.49499372665991,55.1196682551353,70.0446472167969,3.45020857989568,4.1353808130871,17
1A,2008,6084.78537345253,5.55075507405265,55.5592923941882,71.0101776123047,3.43579328443832,4.31942055151331,18
1A,2009,5123.70680136245,0.409202168817103,55.996756942822,69.7459564208984,3.42201155999365,4.36068274951403,19
1A,2010,5911.3303946217,4.81457026982723,56.3804175556449,70.4397125244141,3.40759814423334,4.51246847631235,20
1A,2011,6874.84318714055,3.57287691238142,56.6379951294674,72.2035903930664,3.38977640102439,4.532731857079,21
1A,2012,7344.63076389533,5.0035800868469,56.8642213511558,73.0683670043945,2.95640543718181,4.74175592617506,22
1A,2013,7344.23105138547,2.52000765718397,57.1779738210308,73.8112869262695,2.93793699681367,4.72147231534525,23
1A,2014,7300.59977114317,2.38370544220714,57.507260831792,74.3166122436523,2.91945174695356,4.7795756407239,24
1A,2015,6258.60722652973,3.38756030711494,57.8461531322777,75.0205383300781,2.90093803852791,4.78886574256776,25
1A,2016,6022.88281755523,3.60944655086158,58.1232553821432,73.7179565429688,2.88332326122098,4.74531898926698,26
1A,2017,6068.60300810317,1.51128390704507,58.3712899667064,74.2122116088867,2.86394290918001,4.73174146399368,27
1A,2018,6624.83465856668,2.62315703654876,58.6295761563896,74.5541229248047,2.84442046915972,4.61512066492964,28
1A,2019,6565.98083975861,1.67111088873453,58.8838169749636,74.8075180053711,2.82662078765584,4.53373888322107,29
1A,2020,5735.50986687093,-5.40097921653559,59.0876190110407,75.1214599609375,2.80889526080167,4.29039969434485,30
1W,1992,4655.71275521098,2.01925660379804,43.7366866312509,75.694221496582,32.5110191391759,3.99417763449693,0
1W,1993,4671.70588436886,1.81297600755461,44.0952783203448,76.1023635864258,32.4548521370699,3.95225439843184,1
1W,1994,4951.80325073014,3.32394244259369,44.456850676825,76.5013885498047,32.3971532541665,3.92594785498804,2
1W,1995,5437.65177653101,3.08461458014557,44.817222756561,76.9117736816406,32.3372578377718,3.97788764014972,3
1W,1996,5481.65286560421,3.57468642667355,45.1746204405046,77.2962417602539,32.2767223864938,3.99245514895458,4
1W,1997,5385.23671471629,3.92971386087353,45.5372049834299,79.2883834838867,32.1988190609858,4.00747146317203,5
1W,1998,5300.64101763202,2.85392534426954,45.9061206803049,80.4686508178711,32.1446656787085,3.97186740343573,6
1W,1999,5399.00286666433,3.54971735296617,46.2774696596455,80.8059387207031,32.0823543964364,3.9420460516906,7
1W,2000,5507.31412485432,4.53109478934492,46.6578577151982,80.9791793823242,32.0048463254365,4.01184337841809,8
1W,2001,5400.63111689924,2.02540286904951,47.1030448765197,81.2859573364258,31.9648876927593,4.01374288216437,9
1W,2002,5535.21273060192,2.30283698886824,47.5926181997335,81.64013671875,31.9251777331026,4.01843649965,10
1W,2003,6127.48578353944,3.10427567346218,48.0839615964876,82.1142425537109,31.8831713705345,4.15600106197803,11
1W,2004,6817.4956625798,4.46925885476534,48.5829023019386,82.4472427368164,31.8069412608907,4.28892095341736,12
1W,2005,7288.55057933625,4.00586591028021,49.0880400467304,82.4547119140625,31.7660649193724,4.39373737484255,13
1W,2006,7799.32791430992,4.4427926960624,49.5882609391725,82.4252471923828,31.7273446671295,4.4843157706766,14
1W,2007,8680.92919732107,4.37327669000229,50.0818289225899,83.0118026733398,31.687577330296,4.59645139384299,15
1W,2008,9420.42685263425,2.06249593292573,50.5883270492273,83.3855133056641,31.6516267318802,4.56919478437372,16
1W,2009,8818.14027413237,-1.35578209060768,51.0869331741482,83.6086730957031,31.6121785267203,4.46354756220658,17
1W,2010,9543.06734241336,4.52954597288344,51.5762120154319,84.2271575927734,31.5717717639636,4.67840762972097,18
